18,408
36,803
38,224
47,253
34,286
32,433
37,620
42,405
50,310
42,467
56,280
53,431
60,230
60,375
68,350
62,398
66,421
67,329
70,211
74,558
77,469
82,227
77,288
83,305
85,380
89,361
90,400
89,315
89,244
95,341
94,325
97,262
112,240
95,880
110,275
115,402
132,272
122,647
128,425
133,527
132,230
136,854
147,242
148,230
156,385
158,340
160,278
171,227
164,262
168,350
173,874
175,439
176,471
188,269
176,270
189,853
182,246
199,198
201,245
205,445
207,400
215,171
220,222
216,352
238,206
232,430
235,389
245,866
248,429
253,167
258,339
258,317
261,366
259,300
263,429
268,175
271,448
276,161
276,199
275,189
280,270
279,310
282,339
281,218
281,375
280,176
285,231
284,322
292,355
287,248
290,299
298,181
299,291
309,275
300,458
305,427
312,237
309,309
311,376
311,470
322,203
320,389
322,433
330,157
326,351
336,474
330,328
330,175
343,396
336,444
343,730
344,199
339,344
345,708
348,179
354,362
351,484
364,400
367,200
364,470
367,463
371,376
377,218
384,243
376,360
385,396
390,187
402,288
392,467
395,495
399,198
400,216
395,701
402,395
403,309
410,449
406,871
409,380
416,228
418,336
417,248
417,357
413,408
424,400
440,868
425,319
431,447
442,295
437,352
446,371
456,393
454,501
451,433
456,533
454,449
462,347
467,422
475,439
467,803
473,536
477,514
490,363
485,380
480,741
485,328
481,301
490,404
494,461
504,300
507,513
510,498
516,737
529,480
529,507
526,277
534,382
540,405
535,769
535,520
543,295
540,440
551,541
542,306
546,455
544,309
556,354
548,523
551,340
569,738
556,439
558,419
572,528
562,588
560,297
571,553
575,432
578,306
576,411
581,382
576,509
579,593
579,800
589,553
594,350
597,528
602,320
613,417
608,580
608,552
608,360
609,533
611,854
620,189
628,801
626,529
631,551
634,837
645,590
648,436
645,420
646,394
654,264
652,535
664,449
662,510
672,478
667,388
670,533
676,495
684,510
685,587
690,775
696,564
699,635
696,214
698,501
710,260
706,292
712,234
710,842
712,610
709,722
715,393
718,568
712,733
724,322
726,475
721,840
731,240
739,291
739,341
739,849
745,390
747,272
